<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20180508;0;226.7;55830890
SBER;D;20180510;0;233.7;72107560
SBER;D;20180511;0;235.72;55032410
SBER;D;20180514;0;237.8;34741670
SBER;D;20180515;0;231.39;52925240
SBER;D;20180516;0;229.8;70111320
SBER;D;20180517;0;226.05;43411210
SBER;D;20180518;0;222.2;60256410
SBER;D;20180521;0;226.21;38947410
SBER;D;20180522;0;225.6;43217100
SBER;D;20180523;0;221;48689890
SBER;D;20180524;0;222.01;37182550
SBER;D;20180525;0;220;50121930
SBER;D;20180528;0;220.9;23163930
SBER;D;20180529;0;219;35915960
SBER;D;20180530;0;221.01;48577040
SBER;D;20180531;0;222.36;67355330
SBER;D;20180601;0;220;35486150
SBER;D;20180604;0;220;32190880
SBER;D;20180605;0;215.56;51356070
SBER;D;20180606;0;217.9;35757900
SBER;D;20180607;0;216.41;32382500
SBER;D;20180608;0;210.95;67550410
SBER;D;20180609;0;212.6;6450540
SBER;D;20180611;0;210.35;28258150
SBER;D;20180613;0;215;48493030
SBER;D;20180614;0;214;42714160
SBER;D;20180615;0;209.36;86197300
SBER;D;20180618;0;206.3;54250200
SBER;D;20180619;0;206;51282280
SBER;D;20180620;0;212.2;60940670
SBER;D;20180621;0;210.4;65015400
SBER;D;20180622;0;214.43;67423210
SBER;D;20180625;0;202.51;56116320
SBER;D;20180626;0;199.91;54707960
SBER;D;20180627;0;207.95;80687300
SBER;D;20180628;0;208.5;46830280
SBER;D;20180629;0;218;76660960
SBER;D;20180702;0;221.01;55104090
SBER;D;20180703;0;218.45;38357870
SBER;D;20180704;0;217.7;20256320
SBER;D;20180705;0;224.54;53715930
SBER;D;20180706;0;226.71;55137560
SBER;D;20180709;0;230;49493270
SBER;D;20180710;0;230.3;43190130
SBER;D;20180711;0;227.57;57983440
SBER;D;20180712;0;226.6;40332870
SBER;D;20180713;0;229.85;39581560
SBER;D;20180716;0;227.99;35476130
SBER;D;20180717;0;222.5;62529500
SBER;D;20180718;0;216.28;61074310
SBER;D;20180719;0;207.5;93226350
SBER;D;20180720;0;204.34;126624340
SBER;D;20180723;0;208.42;55220910
SBER;D;20180724;0;215.45;54048140
SBER;D;20180725;0;213.7;76238900
SBER;D;20180726;0;210;59569060
SBER;D;20180727;0;208.9;58570630
SBER;D;20180730;0;211.33;48306180
SBER;D;20180731;0;214.86;45243210
SBER;D;20180801;0;210.6;37524870
SBER;D;20180802;0;206.6;57931080
SBER;D;20180803;0;202.21;74011290
SBER;D;20180806;0;203.9;52568260
SBER;D;20180807;0;201.79;60405360
SBER;D;20180808;0;193.2;142013410
SBER;D;20180809;0;195.9;160034960
SBER;D;20180810;0;186.15;113458060
SBER;D;20180813;0;190;106247260
SBER;D;20180814;0;192.76;82639580
SBER;D;20180815;0;187.98;77677680
SBER;D;20180816;0;191.6;54658510
SBER;D;20180817;0;189.55;45174790
SBER;D;20180820;0;191.2;49215120
SBER;D;20180821;0;191.8;40308740
SBER;D;20180822;0;187.8;66350360
SBER;D;20180823;0;178.71;147543270
SBER;D;20180824;0;180.39;132957000
SBER;D;20180827;0;183.27;51580770
SBER;D;20180828;0;182;49544520
SBER;D;20180829;0;183.5;39202670
SBER;D;20180830;0;178;66083800
SBER;D;20180831;0;182;63727210
SBER;D;20180903;0;181.21;31215900
SBER;D;20180904;0;179.5;56682000
SBER;D;20180905;0;178.46;44378140
SBER;D;20180906;0;175;49093170
SBER;D;20180907;0;174.9;68384820
SBER;D;20180910;0;171.21;77583280
SBER;D;20180911;0;169.36;93215820
SBER;D;20180912;0;173.9;93403230
SBER;D;20180913;0;183.5;194705800
SBER;D;20180914;0;188.71;127770380
SBER;D;20180917;0;188.11;66793190
SBER;D;20180918;0;191.65;83573220
SBER;D;20180919;0;193.9;60947040
SBER;D;20180920;0;191.16;132774700
SBER;D;20180921;0;193.44;108957030
SBER;D;20180924;0;198.75;75925070
SBER;D;20180925;0;195.55;89873560
